Run,Iteration,Wavelengths,Cofficients,Weights
60,0,421.000,-0.04335621281475914,0.0003223251181028364
60,0,422.000,-0.04689816810260137,0.0003486572417444123
60,0,423.000,-0.04887484031858946,0.0003633525083303367
60,0,424.000,-0.052442218199216094,0.0003898736323409421
60,0,425.000,-0.05795078555002329,0.00043082623190291146
60,0,426.000,-0.06349912049282508,0.00047207447753159544
60,0,427.000,-0.06974692577872514,0.0005185228282043213
60,0,428.000,-0.07665436710538366,0.000569875141906539
60,0,429.000,-0.08341361685971894,0.0006201257480805873
60,0,430.000,-0.08886553094790599,0.0006606571676459788
60,0,431.000,-0.09081758826072234,0.0006751694385074883
60,0,432.000,-0.08949451476916132,0.0006653332514482495
60,0,433.000,-0.08436112632114107,0.0006271698619279222
60,0,434.000,-0.07749766010417111,0.000576144474437745
60,0,435.000,-0.07008216156876708,0.0005210150872971353
60,0,436.000,-0.06372859978951068,0.0004737805061859516
60,0,437.000,-0.05605037246252444,0.000416697902117988
60,0,438.000,-0.04799788504517797,0.00035683291877852414
60,0,439.000,-0.04043817286315475,0.00030063139738861625
60,0,440.000,-0.034070976653836994,0.0002532954531971614
60,0,441.000,-0.025797242139854657,0.00019178564223269818
60,0,526.000,-0.039898228235541566,0.00029661726182267107
60,0,527.000,-0.04193198067882736,0.0003117368826086193
60,0,528.000,-0.04402964733271635,0.0003273316637958955
60,0,529.000,-0.04637883007765241,0.0003447963028071907
60,0,530.000,-0.048484217767174466,0.0003604484848503244
60,0,531.000,-0.05057755351795019,0.0003760110686022886
60,0,532.000,-0.052394586691132304,0.0003895195231955211
60,0,533.000,-0.053871012638635696,0.0004004957855810845
60,0,534.000,-0.05500054341215849,0.0004088931089712074
60,0,535.000,-0.0558731101168246,0.0004153800723814056
60,0,536.000,-0.056496429717974125,0.00042001404640756726
60,0,537.000,-0.05729221819300868,0.0004259302138388949
60,0,538.000,-0.05774962886867664,0.0004293307633907226
60,0,539.000,-0.05790598272455973,0.00043049315216482225
60,0,540.000,-0.05804084340714887,0.00043149575323675384
60,0,541.000,-0.057960801242043905,0.00043090069202993456
60,0,542.000,-0.05788358993712289,0.00043032667641921065
60,0,543.000,-0.0576352191850993,0.000428480202136013
60,0,544.000,-0.05732248047311456,0.00042615519412144093
60,0,545.000,-0.05683493601756815,0.00042253061960231033
60,0,546.000,-0.0561712152281982,0.000417596289135417
60,0,568.000,-0.027504249635469043,0.00020447612779187586
60,0,569.000,-0.025007820120070707,0.00018591680523701802
60,0,570.000,-0.022419514647632782,0.00016667444496320345
60,0,571.000,-0.02000140700612424,0.00014869739437382894
60,0,572.000,-0.017230559252189012,0.00012809795149010638
60,0,573.000,-0.014609760844177977,0.00010861402746761156
60,0,574.000,-0.01183876470734532,8.801348145398365e-05
60,0,575.000,-0.009168476346267588,6.816163196172327e-05
60,0,576.000,-0.0063801894787175704,4.743254066107111e-05
60,0,577.000,-0.0036611761312755754,2.7218452726732733e-05
60,0,578.000,-0.0012937913588395283,9.618493532175382e-06
60,0,579.000,0.001055873120662497,7.849726860905493e-06
60,0,580.000,0.0033850610774144255,2.516571768444441e-05
60,0,581.000,0.005412821514749366,4.024079182066484e-05
60,0,582.000,0.007121672896440704,5.2944985468232516e-05
60,0,583.000,0.008407163601826235,6.25017690647103e-05
60,0,584.000,0.009309968285195076,6.92135320923979e-05
60,0,585.000,0.010138410730675836,7.537246046148479e-05
60,0,586.000,0.01071770693317067,7.967914927868951e-05
60,0,587.000,0.010879423018204633,8.088140272343589e-05
60,0,588.000,0.010648300569839078,7.916315830979363e-05
60,0,652.000,-0.0432791449475359,0.0003217521688576891
60,0,653.000,-0.043211010111774154,0.0003212456308655989
60,0,654.000,-0.04288397430326953,0.0003188143332785499
60,0,655.000,-0.04199020773710524,0.0003121697627477676
60,0,656.000,-0.040756321705471533,0.00030299662618782375
60,0,657.000,-0.039431799312523726,0.00029314966749332676
60,0,658.000,-0.03801109942379697,0.0002825876919494976
60,0,659.000,-0.036648508308879515,0.00027245771717706696
